Disease,Specialist_1,Specialist_2,Specialist_3,Specialist_4,Specialist_5,Specialist_6,Specialist_7,Specialist_8,Specialist_9,Specialist_10,Specialist_11,Specialist_12,Specialist_13,Specialist_14,Specialist_15,Specialist_16,Specialist_17,Specialist_18,Specialist_19,Specialist_20,Specialist_21,Specialist_22,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Symptom_18,Symptom_19,Symptom_20,Symptom_21,Symptom_22,Symptom_23,Symptom_24,Symptom_25,Symptom_26,Symptom_27,Symptom_28,Symptom_29,Symptom_30,Symptom_31,Symptom_32,Symptom_33,Symptom_34,Symptom_35,Symptom_36,Symptom_37,Symptom_38,Symptom_39,Symptom_40,Symptom_41,Symptom_42,Symptom_43,Symptom_44,Symptom_45,Symptom_46,Symptom_47,Symptom_48,Symptom_49,Symptom_50,Symptom_51,Symptom_52,Symptom_53,Symptom_54,Symptom_55,Symptom_56,Symptom_57,Symptom_58,Symptom_59,Symptom_60,Symptom_61,Symptom_62,Symptom_63,Symptom_64,Symptom_65,Symptom_66,Symptom_67,Symptom_68,Symptom_69,Symptom_70,Symptom_71,Symptom_72,Symptom_73,Symptom_74,Symptom_75,Symptom_76
dengue fever,Medical Microbiologist,Infectious Disease Doctor,Primary Care Physician,Infectious Disease Specialist,,,,,,,,,,,,,,,,,,,sore throat,fever,shoulder cramps or spasms,ankle pain,wrist pain,pain during pregnancy,joint stiffness or tightness,excessive anger,pain or soreness of breast,knee lump or mass,facial pain,pain in eye,headache,"muscle, bone or joint pain",nausea,vomiting,pain behind the eyes,swollen glands,rash,severe stomach pain,persistent vomiting,bleeding from your gums or nose,"blood in your urine, stools or vomit","bleeding under the skin, which might look like bruising",difficult or rapid breathing,fatigue,irritability or restlessness ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaria,Internist,Infectious Disease Specialist,Emergency Medicine Specialist,Primary Care Physician,Medical Microbiologist,,,,,,,,,,,,,,,,,,headache,fever,ache all over,weakness,vomiting,back pain,fainting,vulvar sore,excessive growth,knee lump or mass,itchy eyelid,wrist weakness,chills,high fever,sweating,nausea,muscle pain,diarrhoea,general feeling of discomfort,nausea and vomiting,diarrhea,abdominal pain,muscle or joint pain,fatigue,rapid breathing,rapid heart rate,cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prostate cancer,Medical Oncologist,Urologist,Radiation Oncologist,Radiologist,Hematologist / Oncologist,Radiation Oncology Medical Physicist,Oncologist,,,,,,,,,,,,,,,,retention of urine,blood in urine,symptoms of prostate,frequent urination,involuntary urination,impotence,excessive urination at night,flushing,symptoms of bladder,pain during intercourse,trouble urinating,decreased force in the stream of urine,blood in the urine,blood in the semen,bone pain,losing weight without trying,erectile dysfunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breast cancer,Medical Oncologist,General Surgeon,Hematologist / Oncologist,Oncologist,Radiation Oncologist,Radiation Oncology Medical Physicist,Pathologist,Internist,Surgical Oncologist,Radiologist,Family Physician,Hospice & Palliative Medicine Specialist,Physiatrist,Palliative Care Specialist,,,,,,,,,lump or mass of breast,pain or soreness of breast,hot flashes,bleeding or discharge from nipple,joint stiffness or tightness,a breast lump or thickening that feels different from the surrounding tissue,"change in the size, shape or appearance of a breast","changes to the skin over the breast, such as dimpling",a newly inverted nipple,"peeling, scaling, crusting or flaking of the pigmented area of skin surrounding the nipple (areola) or breast skin","redness or pitting of the skin over your breast, like the skin of an orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lung cancer,Radiation Oncology Medical Physicist,Oncologist,Hematologist / Oncologist,Radiation Oncologist,Pulmonologist,Radiologist,Thoracic Surgeon,Cardiothoracic Surgeon,Pathologist,Cardiovascular Surgeon,,,,,,,,,,,,,shortness of breath,cough,fatigue,decreased appetite,hemoptysis,drainage in throat,leg weakness,smoking problems,a new cough that doesn't go away,"coughing up blood, even a small amount",chest pain,hoarseness,losing weight without trying,bone pain,headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colon cancer,General Surgeon,Colon and Rectal Surgeon,Radiologist,Radiation Oncologist,Oncologist,Gastroenterologist,Hematologist / Oncologist,Pathologist,,,,,,,,,,,,,,,"a persistent change in your bowel habits, including diarrhea or constipation or a change in the consistency of your stool",rectal bleeding or blood in your stool,"persistent abdominal discomfort, such as cramps, gas or pain",a feeling that your bowel doesn't empty completely,weakness or fatigue,unexplained weight loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schizophrenia,Psychiatrist,Psychologist,,,,,,,,,,,,,,,,,,,,,hallucinations auditory,hypersomnolence,irritable mood,verbal auditory hallucinations,patient non compliance,agitation,suicidal,worry,hallucinations visual,underweight,homelessness,depressive or psychotic symptoms,delusions or hallucinations,depression,anxiety and nervousness,hostile behavior,fears and phobias,drug abuse,insomnia,temper problems,excessive anger,hysterical behavior,low self-esteem,"delusions - these are false beliefs that are not based in reality; for example, you think that you're being harmed or harassed; certain gestures or comments are directed at you; you have exceptional ability or fame; another person is in love with you; or a major catastrophe is about to occur; delusions occur in most people with schizophrenia","hallucinations - these usually involve seeing or hearing things that don't exist; yet for the person with schizophrenia, they have the full force and impact of a normal experience; hallucinations can be in any of the senses, but hearing voices is the most common hallucination","disorganized thinking (speech) - disorganized thinking is inferred from disorganized speech; effective communication can be impaired, and answers to questions may be partially or completely unrelated; rarely, speech may include putting together meaningless words that can't be understood, sometimes known as word salad","extremely disorganized or abnormal motor behavior - this may show in a number of ways, from childlike silliness to unpredictable agitation; behavior isn't focused on a goal, so it's hard to do tasks; behavior can include resistance to instructions, inappropriate or bizarre posture, a complete lack of response, or useless and excessive movement","negative symptoms - this refers to reduced or lack of ability to function normally; for example, the person may neglect personal hygiene or appear to lack emotion (doesn't make eye contact, doesn't change facial expressions or speaks in a monotone); also, the person may lose interest in everyday activities, socially withdraw or lack the ability to experience pleasure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bipolar disorder,Psychiatrist,Psychologist,,,,,,,,,,,,,,,,,,,,,feeling suicidal,energy increased,suicidal,irritable mood,agitation,has religious belief,disturbed family,hallucinations auditory,verbal auditory hallucinations,weepiness,behavior hyperactive,catatonia,feeling hopeless,worry,sleeplessness,hypersomnia,difficulty,hallucinations visual,hyperhidrosis disorder,mydriasis,extrapyramidal sign,loose associations,intoxication,motor retardation,homelessness,blackout,tremor,exhaustion,depressive or psychotic symptoms,depression,anxiety and nervousness,insomnia,hostile behavior,delusions or hallucinations,abusing alcohol,drug abuse,excessive anger,temper problems,fears and phobias,obsessions and compulsions,"bipolar i disorder - you've had at least one manic episode that may be preceded or followed by hypomanic or major depressive episodes; in some cases, mania may trigger a break from reality (psychosis)","bipolar ii disorder - you've had at least one major depressive episode and at least one hypomanic episode, but you've never had a manic episode",cyclothymic disorder - you've had at least two years - or one year in children and teenagers - of many periods of hypomania symptoms and periods of depressive symptoms (though less severe than major depression),"other types - these include, for example, bipolar and related disorders induced by certain drugs or alcohol or due to a medical condition, such as cushing's disease, multiple sclerosis or stroke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panic disorder,Psychiatrist,Psychologist,,,,,,,,,,,,,,,,,,,,,anxiety and nervousness,depression,shortness of breath,depressive or psychotic symptoms,sharp chest pain,dizziness,insomnia,abnormal involuntary movements,chest tightness,palpitations,irregular heartbeat,breathing fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generalized anxiety disorder,Psychiatrist,Psychologist,Family Physician,Pediatrician,,,,,,,,,,,,,,,,,,,persistent worrying or anxiety about a number of areas that are out of proportion to the impact of the events,overthinking plans and solutions to all possible worst-case outcomes,"perceiving situations and events as threatening, even when they aren't",difficulty handling uncertainty,indecisiveness and fear of making the wrong decision,inability to set aside or let go of a worry,"inability to relax, feeling restless, and feeling keyed up or on edge","difficulty concentrating, or the feeling that your mind ""goes blank""",fatigue,trouble sleeping,muscle tension or muscle aches,"trembling, feeling twitchy",nervousness or being easily startled,sweating,"nausea, diarrhea or irritable bowel syndrome",irritability,performance at school or sporting events,family members' safety,being on time (punctuality),"earthquakes, nuclear war or other catastrophic events",feel overly anxious to fit in,be a perfectionist,redo tasks because they aren't perfect the first time,spend excessive time doing homework,lack confidence,strive for approval,require a lot of reassurance about performance,have frequent stomachaches or other physical complaints,avoid going to school or avoid social situations,"you feel like you're worrying too much, and it's interfering with your work, relationships or other parts of your life","you feel depressed or irritable, have trouble with drinking or drugs, or you have other mental health concerns along with anxiety",you have suicidal thoughts or behaviors - seek emergency treatment immediately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anxiety,Psychiatrist,Psychologist,Pediatrician,Family Physician,,,,,,,,,,,,,,,,,,,anxiety and nervousness,depression,sharp chest pain,depressive or psychotic symptoms,shortness of breath,headache,insomnia,palpitations,abnormal involuntary movements,irregular heartbeat,fears and phobias,increased heart rate,"feeling nervous, restless or tense","having a sense of impending danger, panic or doom",having an increased heart rate,breathing rapidly (hyperventilation),sweating,trembling,feeling weak or tired,trouble concentrating or thinking about anything other than the present worry,having trouble sleeping,experiencing gastrointestinal (gi) problems,having difficulty controlling worry,having the urge to avoid things that trigger anxiety,"agoraphobia (ag-uh-ruh-foe-be-uh) is a type of anxiety disorder in which you fear and often avoid places or situations that might cause you to panic and make you feel trapped, helpless or embarrassed",anxiety disorder due to a medical condition includes symptoms of intense anxiety or panic that are directly caused by a physical health problem,"generalized anxiety disorder includes persistent and excessive anxiety and worry about activities or events - even ordinary, routine issues; the worry is out of proportion to the actual circumstance, is difficult to control and affects how you feel physically; it often occurs along with other anxiety disorders or depression","panic disorder involves repeated episodes of sudden feelings of intense anxiety and fear or terror that reach a peak within minutes (panic attacks); you may have feelings of impending doom, shortness of breath, chest pain, or a rapid, fluttering or pounding heart (heart palpitations); these panic attacks may lead to worrying about them happening again or avoiding situations in which they've occurred","selective mutism is a consistent failure of children to speak in certain situations, such as school, even when they can speak in other situations, such as at home with close family members; this can interfere with school, work and social functioning",separation anxiety disorder is a childhood disorder characterized by anxiety that's excessive for the child's developmental level and related to separation from parents or others who have parental roles,"social anxiety disorder (social phobia) involves high levels of anxiety, fear and avoidance of social situations due to feelings of embarrassment, self-consciousness and concern about being judged or viewed negatively by others",specific phobias are characterized by major anxiety when you're exposed to a specific object or situation and a desire to avoid it; phobias provoke panic attacks in some people,"substance-induced anxiety disorder is characterized by symptoms of intense anxiety or panic that are a direct result of misusing drugs, taking medications, being exposed to a toxic substance or withdrawal from drugs; ",other specified anxiety disorder and unspecified anxiety disorder are terms for anxiety or phobias that don't meet the exact criteria for any other anxiety disorders but are significant enough to be distressing and disruptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
